shared_interests_o,field,shared_interests_partner,d_funny_o_[0-5],funny_partner,d_attractive_o_[0-5],interests_correlate,d_like_[0-5],d_shared_interests_o_[0-5],d_shared_interests_partner_[0-5],d_attractive_partner_[0-5],d_funny_partner_[0-5],d_guess_prob_liked_[0-4],attractive_o,guess_prob_liked,expected_num_matches,pref_o_shared_interests,funny_o,d_guess_prob_liked_[7-10],attractive_partner,like,pref_o_intelligence,pref_o_attractive,d_funny_o_[9-10],match
6.0,36,6.0,0,6.0,0,0.33,0,1,0,1,0,0,7.0,6.0,5.0,18.75,9.0,0,5.0,6.0,20.83,8.33,1,0
5.0,36,8.0,0,8.0,1,0.03,0,1,0,0,0,0,5.0,7.0,5.0,16.0,6.0,1,8.0,7.0,16.0,16.0,0,0
10.0,36,7.0,0,7.0,0,0.11,0,0,0,0,0,0,6.0,7.0,5.0,18.18,8.0,1,7.0,7.0,22.73,11.36,0,0
6.0,36,3.0,1,6.0,0,0.13,1,1,1,1,0,1,6.0,2.0,5.0,13.64,6.400598653030681,0,4.0,4.0,18.18,18.18,0,0
3.0,36,7.0,1,7.0,1,0.38,1,1,0,1,0,0,4.0,6.0,5.0,10.0,4.0,0,4.0,5.0,20.0,18.0,0,0
2.0,36,5.0,1,6.0,1,0.31,0,1,1,0,0,0,2.0,6.0,5.0,13.21,4.0,0,7.0,7.0,16.98,15.09,0,0
6.0,36,6.0,1,6.0,1,0.13,0,1,0,1,0,0,4.0,5.0,5.0,14.89,4.0,0,5.0,6.0,19.15,8.51,0,0
6.0,36,7.0,0,7.0,0,0.4,0,1,0,0,0,0,7.0,7.0,5.0,14.0,8.0,1,8.0,7.0,20.0,12.0,0,0
4.0,36,7.0,1,7.0,0,0.36,0,1,0,0,0,0,6.0,8.0,5.0,16.36,4.0,1,9.0,8.0,18.18,14.55,0,0
5.0,36,6.0,0,7.0,1,0.22,0,1,0,0,0,0,4.0,7.0,5.0,14.0,6.0,1,7.0,7.0,20.0,14.0,0,0
6.0,36,5.0,0,6.0,1,0.2,0,1,1,0,0,0,5.0,7.0,5.0,17.07,6.0,1,7.0,6.0,19.51,9.76,0,0
5.0,36,8.0,1,8.0,1,0.48,0,1,0,0,0,0,5.0,9.0,5.0,15.38,5.0,1,8.0,9.0,17.31,15.38,0,0
3.0,36,7.0,0,7.0,1,0.25,0,1,0,0,0,0,3.0,7.0,5.0,13.21,6.0,1,7.0,7.0,18.87,15.09,0,0
5.0,36,6.0,0,7.0,0,-0.01,0,1,0,0,0,0,6.0,8.0,5.0,16.0,9.0,1,7.0,6.0,16.0,14.0,1,0
7.0,36,8.0,0,8.0,1,0.29,0,0,0,0,0,0,2.0,9.0,5.0,16.33,7.0,1,6.0,9.0,16.33,14.29,0,0
10.0,155,8.0,0,8.0,0,-0.59,0,0,0,0,0,0,10.0,7.0,3.0,9.52,10.0,1,8.0,8.0,21.43,14.29,1,1
8.0,155,8.0,0,8.0,0,0.27,0,0,0,0,0,0,8.0,7.0,3.0,18.75,8.0,1,7.0,7.0,20.83,8.33,0,0
7.0,155,9.0,0,9.0,0,0.55,0,0,0,0,0,0,7.0,7.0,3.0,16.0,8.0,1,8.0,8.0,16.0,16.0,0,0
5.0,155,8.0,0,8.0,0,-0.11,0,1,0,0,0,0,9.0,8.0,3.0,18.18,7.0,1,7.0,8.0,22.73,11.36,0,0
6.0,155,7.0,0,7.0,0,0.01,0,1,0,0,0,0,8.0,7.0,3.0,13.64,8.0,1,7.0,7.0,18.18,18.18,0,0
5.0,155,6.0,0,9.0,0,0.37,0,1,1,0,0,0,8.0,9.0,3.0,10.0,7.0,1,10.0,9.0,20.0,18.0,0,1
2.0,155,6.0,1,6.400597907324364,0,0.08,0,1,1,0,1,0,8.0,8.0,3.0,13.21,5.0,1,9.0,9.0,16.98,15.09,0,1
8.0,155,8.0,0,8.0,0,0.45,0,0,0,0,0,0,8.0,8.0,3.0,14.89,7.0,1,9.0,9.0,19.15,8.51,0,0
7.0,155,8.0,0,7.0,0,0.3,0,0,0,0,0,0,9.0,7.0,3.0,14.0,9.0,1,7.0,8.0,20.0,12.0,1,0
6.0,155,7.0,0,9.0,0,0.47,0,1,0,0,0,0,7.0,8.0,3.0,16.36,7.0,1,9.0,9.0,18.18,14.55,0,0
6.0,155,6.0,0,7.0,0,0.07,0,0,0,0,0,0,8.0,8.0,3.0,14.0,8.0,1,10.0,8.0,20.0,14.0,0,0
6.0,155,6.0,0,7.0,0,0.12,0,0,0,0,0,0,7.0,8.0,3.0,17.07,7.0,1,9.0,8.0,19.51,9.76,0,0
9.0,155,10.0,0,9.0,0,0.6,0,0,0,0,0,0,9.0,9.0,3.0,15.38,9.0,1,10.0,10.0,17.31,15.38,1,1
6.0,155,8.0,0,8.0,0,0.23,0,0,0,0,0,0,8.0,9.0,3.0,13.21,7.0,1,9.0,8.0,18.87,15.09,0,0
10.0,155,8.0,0,8.0,0,-0.05,0,0,0,0,0,0,7.0,8.0,3.0,16.0,8.0,1,8.0,8.0,16.0,14.0,0,0
8.0,155,8.0,0,9.0,0,0.61,0,0,0,0,0,0,8.0,8.0,3.0,16.33,8.0,1,10.0,9.0,16.33,14.29,0,1
7.0,17,7.0,0,7.0,1,-0.27,0,0,0,0,0,0,4.0,6.0,3.0,9.52,9.0,0,7.0,7.0,21.43,14.29,1,0
8.0,17,3.0,0,5.0,1,0.55,1,0,1,1,1,1,5.0,4.0,3.0,18.75,6.0,0,5.0,4.0,20.83,8.33,0,0
5.0,17,6.0,0,6.400597907324364,1,-0.06,1,1,1,1,1,1,5.0,5.0,3.0,16.0,6.0,0,6.189995107632094,6.0,16.0,16.0,0,0
10.0,17,8.0,0,6.0,0,0.7,0,0,0,0,0,0,8.0,5.0,3.0,18.18,7.0,0,6.0,6.0,22.73,11.36,0,0
6.0,17,5.0,1,6.0,0,0.74,1,1,1,1,0,0,6.0,5.0,3.0,13.64,6.400598653030681,0,5.0,5.0,18.18,18.18,0,0
4.0,17,7.0,1,6.0,1,0.43,0,1,0,0,0,0,4.0,6.0,3.0,10.0,4.0,0,7.0,6.0,20.0,18.0,0,0
1.0,17,5.0,1,5.0,1,0.74,0,1,1,0,1,0,3.0,5.0,3.0,13.21,4.0,0,6.0,6.0,16.98,15.09,0,0
6.0,17,6.0,1,6.0,1,0.32,0,1,0,0,0,0,4.0,5.0,3.0,14.89,4.0,0,7.0,6.0,19.15,8.51,0,0
3.0,17,7.0,0,7.0,1,0.15,0,1,0,0,0,0,5.0,5.0,3.0,14.0,6.0,0,6.0,6.0,20.0,12.0,0,0
2.0,17,5.0,1,8.0,1,0.67,0,1,1,0,0,0,3.0,6.0,3.0,16.36,3.0,0,8.0,7.0,18.18,14.55,0,0
6.0,17,5.0,0,5.0,1,0.63,1,1,1,1,1,1,4.0,3.0,3.0,14.0,6.0,0,5.0,4.0,20.0,14.0,0,0
4.0,17,7.0,1,6.0,1,0.36,0,1,0,1,0,0,5.0,5.0,3.0,17.07,5.0,0,5.0,6.0,19.51,9.76,0,0
6.0,17,7.0,1,5.0,0,0.25,0,0,0,0,1,0,6.0,5.0,3.0,15.38,5.0,0,6.0,6.0,17.31,15.38,0,0
6.0,17,6.0,1,6.0,1,0.85,0,0,0,0,0,0,2.0,6.0,3.0,13.21,3.0,0,6.0,6.0,18.87,15.09,0,0
8.0,17,8.0,1,7.0,1,0.75,0,0,0,0,0,0,4.0,5.0,3.0,16.0,3.0,0,6.0,6.0,16.0,14.0,0,0
3.0,17,6.0,1,5.0,1,-0.12,1,1,0,0,1,0,3.0,6.0,3.0,16.33,4.0,0,6.0,5.0,16.33,14.29,0,0
2.0,85,7.0,1,9.0,1,-0.36,0,1,0,0,0,0,4.0,7.0,3.0,9.52,5.0,1,7.0,7.0,21.43,14.29,0,1
8.0,85,9.0,0,6.0,0,0.34,0,0,0,1,0,0,8.0,7.0,3.0,18.75,7.0,1,5.0,6.0,20.83,8.33,0,0
6.0,85,10.0,0,9.0,1,0.45,0,0,0,0,0,0,5.0,9.0,3.0,16.0,7.0,1,8.0,8.0,16.0,16.0,0,0
5.0,85,3.0,0,5.0,0,0.38,0,1,1,0,1,0,9.0,6.0,3.0,18.18,7.0,0,6.0,6.0,22.73,11.36,0,0
6.0,85,7.0,0,6.0,0,0.55,0,1,0,0,0,0,8.0,7.0,3.0,13.64,7.0,1,6.0,8.0,18.18,18.18,0,0
3.0,85,4.0,1,9.0,1,0.54,0,1,1,1,0,0,4.0,8.0,3.0,10.0,4.0,1,5.0,9.0,20.0,18.0,0,0
5.0,85,6.0,0,6.0,1,0.42,0,1,0,0,0,0,4.0,6.0,3.0,13.21,7.0,0,7.0,8.0,16.98,15.09,0,0
6.0,85,10.0,0,6.0,0,0.52,0,1,0,0,0,0,6.0,8.0,3.0,14.89,6.0,1,8.0,9.0,19.15,8.51,0,1
6.0,85,5.0,0,7.0,0,0.46,0,1,1,0,0,0,6.0,5.0,3.0,14.0,6.0,0,7.0,7.0,20.0,12.0,0,0
6.0,85,6.0,1,8.0,1,0.33,0,1,0,0,0,0,5.0,7.0,3.0,16.36,5.0,1,9.0,8.0,18.18,14.55,0,0
8.0,85,4.0,0,5.0,0,0.46,0,0,1,0,1,0,6.0,6.0,3.0,14.0,8.0,0,7.0,7.0,20.0,14.0,0,0
6.0,85,4.0,0,6.0,0,0.78,0,1,1,0,0,0,6.0,7.0,3.0,17.07,7.0,1,6.0,6.0,19.51,9.76,0,1
8.0,85,5.0,0,8.0,0,0.53,0,0,1,0,0,0,8.0,9.0,3.0,15.38,8.0,1,9.0,8.0,17.31,15.38,0,1
5.0,85,6.0,1,8.0,1,0.52,0,1,0,0,0,1,4.0,4.0,3.0,13.21,4.0,0,10.0,8.0,18.87,15.09,0,0
2.0,85,4.0,1,9.0,1,0.19,0,1,1,0,0,0,5.0,5.0,3.0,16.0,2.0,0,6.0,6.0,16.0,14.0,0,0
5.0,85,5.0,0,9.0,1,0.51,0,1,1,0,0,0,5.0,6.0,3.0,16.33,6.0,0,9.0,9.0,16.33,14.29,0,0
8.0,30,6.0,0,7.0,0,0.04,0,0,0,0,0,0,8.0,6.0,3.0,9.52,8.0,0,8.0,6.0,21.43,14.29,0,1
6.0,30,1.0,0,2.0,0,-0.01,1,1,1,1,1,0,8.0,5.0,3.0,18.75,8.0,0,6.189995107632094,1.0,20.83,8.33,0,0
7.0,30,4.0,0,5.0,1,0.52,1,0,1,1,1,0,5.0,5.0,3.0,16.0,7.0,0,4.0,4.0,16.0,16.0,0,0
7.0,30,2.0,0,2.0,0,-0.25,1,0,1,1,1,0,9.0,7.0,3.0,18.18,7.0,1,2.0,3.0,22.73,11.36,0,0
6.0,30,1.0,0,1.0,0,-0.29,1,1,1,1,1,1,8.0,5.0,3.0,13.64,7.0,0,1.0,1.0,18.18,18.18,0,0
8.0,30,6.0,0,7.0,0,0.01,0,0,0,0,0,0,8.0,5.0,3.0,10.0,10.0,0,8.0,8.0,20.0,18.0,1,1
7.0,30,4.0,0,9.0,0,-0.36,0,0,1,0,0,1,7.0,3.0,3.0,13.21,10.0,0,7.0,6.0,16.98,15.09,1,0
6.0,30,7.0,0,5.0,0,-0.09,0,0,0,0,1,0,7.0,6.0,3.0,14.89,6.0,0,6.0,6.0,19.15,8.51,0,1
6.0,30,3.0,0,4.0,0,0.27,1,1,1,1,1,0,6.0,9.0,3.0,14.0,7.0,1,4.0,3.0,20.0,12.0,0,0
8.0,30,6.0,0,6.0,0,0.0,0,0,0,0,0,1,7.0,4.0,3.0,16.36,6.0,0,8.0,6.0,18.18,14.55,0,0
6.0,30,3.0,0,4.0,0,0.02,0,1,1,0,1,0,6.0,7.0,3.0,14.0,8.0,1,7.0,6.0,20.0,14.0,0,0
6.0,30,1.0,0,2.0,0,0.29,1,1,1,1,1,0,6.0,5.0,3.0,17.07,6.0,0,4.0,4.0,19.51,9.76,0,0
8.0,30,6.0,0,5.0,0,0.28,0,0,0,0,1,0,9.0,5.0,3.0,15.38,10.0,0,7.0,6.0,17.31,15.38,1,1
7.0,30,5.0,0,4.0,1,-0.03,1,0,1,1,1,0,5.0,5.0,3.0,13.21,6.0,0,5.0,5.0,18.87,15.09,0,0
7.0,30,7.0,0,7.0,1,-0.08,0,0,0,0,0,0,5.0,6.0,3.0,16.0,8.0,0,6.0,7.0,16.0,14.0,0,1
7.0,30,6.0,0,8.0,0,0.36,0,0,0,0,0,1,7.0,4.0,3.0,16.33,8.0,0,8.0,8.0,16.33,14.29,0,0
9.0,240,5.0,0,7.0,0,-0.21,0,0,1,0,0,0,6.0,5.0,5.0,9.52,9.0,0,8.0,7.0,21.43,14.29,1,1
6.0,240,5.0,0,4.0,0,-0.03,1,1,1,1,1,1,7.0,3.0,5.0,18.75,9.0,0,4.0,3.0,20.83,8.33,1,0
6.0,240,5.0,0,6.0,0,0.72,1,0,1,1,0,1,6.0,4.0,5.0,16.0,6.0,0,5.0,4.0,16.0,16.0,0,0
10.0,240,5.0,0,5.0,0,-0.5,1,0,1,1,1,1,8.0,4.0,5.0,18.18,10.0,0,4.0,4.0,22.73,11.36,1,0
6.0,240,4.0,0,5.0,0,-0.21,1,1,1,1,1,1,6.0,3.0,5.0,13.64,8.0,0,5.0,4.0,18.18,18.18,0,0
5.0,240,4.0,0,6.0,0,0.03,1,1,1,1,0,1,6.0,4.0,5.0,10.0,8.0,0,5.0,4.0,20.0,18.0,0,0
2.0,240,5.0,1,7.0,0,-0.34,1,1,1,1,0,1,7.0,4.0,5.0,13.21,5.0,0,5.0,5.0,16.98,15.09,0,0
6.0,240,8.0,0,8.0,1,0.15,0,1,0,0,0,0,5.0,6.0,5.0,14.89,7.0,0,8.0,8.0,19.15,8.51,0,1
6.0,240,5.0,0,7.0,0,0.39,0,1,1,0,0,1,6.0,4.0,5.0,14.0,8.0,0,7.0,6.0,20.0,12.0,0,0
10.0,240,7.0,0,8.0,0,0.09,0,0,0,0,0,0,8.0,6.0,5.0,16.36,9.0,0,9.0,8.0,18.18,14.55,1,1
7.0,240,5.0,0,5.0,1,-0.15,1,0,1,1,1,1,5.0,3.0,5.0,14.0,6.0,0,5.0,5.0,20.0,14.0,0,0
6.0,240,5.0,0,5.0,1,0.12,1,1,1,1,1,1,5.0,3.0,5.0,17.07,6.0,0,5.0,5.0,19.51,9.76,0,0
7.0,240,6.0,0,7.0,0,0.54,0,0,0,0,0,1,9.0,4.0,5.0,15.38,9.0,0,6.0,7.0,17.31,15.38,1,1
6.0,240,5.0,1,8.0,1,-0.13,0,0,1,0,0,0,3.0,5.0,5.0,13.21,4.0,0,6.0,6.0,18.87,15.09,0,0
7.0,240,6.0,0,7.0,0,-0.15,0,0,0,0,0,0,6.0,5.0,5.0,16.0,9.0,0,7.0,6.0,16.0,14.0,1,1
6.0,240,7.0,0,8.0,1,0.49,0,0,0,0,0,0,5.0,6.0,5.0,16.33,6.0,0,7.0,7.0,16.33,14.29,0,0
7.0,111,6.0,0,6.0,0,0.34,0,0,0,1,0,0,8.0,6.0,4.0,16.67,8.0,0,5.0,6.0,16.67,16.67,0,1
8.0,111,6.0,0,5.0,0,0.48,1,0,1,1,1,0,6.0,5.0,4.0,15.09,6.0,0,5.0,5.0,16.98,16.98,0,0
6.0,111,6.0,1,6.0,1,0.35,0,1,0,1,0,0,4.0,6.0,4.0,11.11,6.400598653030681,0,5.0,6.0,22.22,19.44,0,0
10.0,111,7.0,1,5.0,0,0.71,0,0,0,1,1,0,6.0,8.0,4.0,16.98,6.400598653030681,1,5.0,7.0,18.87,16.98,0,1
5.0,111,5.0,1,5.0,1,0.51,0,1,1,1,1,0,4.0,7.0,4.0,15.56,5.0,1,5.0,7.0,22.22,15.56,0,0
4.0,111,5.0,1,5.0,1,0.22,0,1,1,1,1,0,5.0,7.0,4.0,15.09,5.0,1,5.0,7.0,16.98,16.98,0,0
6.0,111,6.0,0,6.0,1,0.21,0,1,0,1,0,0,5.0,8.0,4.0,11.11,8.0,1,5.0,6.0,20.0,15.56,0,0
8.0,111,6.0,0,7.0,1,0.32,0,0,0,1,0,0,5.0,8.0,4.0,2.27,6.0,1,5.0,6.0,20.45,20.45,0,0
3.0,111,7.0,1,7.0,1,-0.03,0,1,0,0,0,0,3.0,8.0,4.0,13.04,4.0,1,6.0,7.0,15.22,19.57,0,0
6.0,111,7.0,1,7.0,1,0.37,0,0,0,0,0,0,3.0,8.0,4.0,11.63,5.0,1,6.0,7.0,23.26,20.93,0,0
8.0,109,7.0,0,7.0,0,0.41,0,0,0,0,0,0,7.0,6.0,3.0,16.67,7.0,0,7.0,6.0,16.67,16.67,0,0
6.0,109,2.0,1,5.0,1,0.56,1,0,1,1,1,0,3.0,7.0,3.0,15.09,4.0,1,2.0,2.0,16.98,16.98,0,0
7.0,109,6.0,0,7.0,0,0.48,1,0,0,1,0,0,7.0,7.0,3.0,11.11,6.0,1,2.0,4.0,22.22,19.44,0,0
6.0,109,7.0,1,7.0,0,0.45,1,1,0,1,0,0,6.0,5.0,3.0,16.98,5.0,0,4.0,4.0,18.87,16.98,0,0
5.0,109,7.0,1,7.0,0,0.43,1,1,0,1,0,0,6.0,6.0,3.0,15.56,5.0,0,4.0,5.0,22.22,15.56,0,1
5.0,109,7.0,1,6.0,0,0.1,0,1,0,1,0,0,6.0,7.0,3.0,15.09,5.0,1,4.0,7.0,16.98,16.98,0,0
10.0,109,7.0,0,7.0,0,0.05,0,0,0,0,0,0,9.0,7.0,3.0,11.11,9.0,1,7.0,7.0,20.0,15.56,1,1
8.0,109,8.0,0,8.0,1,0.65,0,0,0,1,0,0,5.0,8.0,3.0,2.27,7.0,1,1.0,8.0,20.45,20.45,0,0
5.0,109,8.0,0,8.0,1,0.05,0,1,0,1,0,0,4.0,5.0,3.0,13.04,6.0,0,1.0,7.0,15.22,19.57,0,0
9.0,109,7.0,0,6.0,1,0.39,1,0,0,1,0,0,5.0,7.0,3.0,11.63,6.0,1,4.0,4.0,23.26,20.93,0,1
6.0,135,5.0,0,6.0,0,0.48,0,0,1,0,0,1,10.0,3.0,4.0,16.67,7.0,0,7.0,6.0,16.67,16.67,0,1
6.0,135,4.0,1,6.0,1,0.16,0,0,1,0,0,1,3.0,2.0,4.0,15.09,4.0,0,6.0,6.0,16.98,16.98,0,0
8.0,135,6.0,0,6.0,0,0.5,0,0,0,0,0,0,8.0,5.0,4.0,11.11,6.0,0,7.0,7.0,22.22,19.44,0,1
6.0,135,5.0,1,5.0,1,0.44,1,1,1,1,1,1,6.190411462160177,1.0,4.0,16.98,6.400598653030681,0,5.0,2.0,18.87,16.98,0,0
7.0,135,4.0,1,8.0,0,0.43,1,0,1,0,0,1,6.0,2.0,4.0,15.56,5.0,0,7.0,4.0,22.22,15.56,0,0
5.0,135,3.0,0,5.0,0,-0.05,1,1,1,0,1,1,8.0,1.0,4.0,15.09,6.0,0,6.0,5.0,16.98,16.98,0,0
3.0,135,2.0,0,8.0,0,-0.34,0,1,1,0,0,1,9.0,2.0,4.0,11.11,7.0,0,8.0,7.0,20.0,15.56,0,0
7.0,135,6.0,0,8.0,0,0.32,1,0,0,0,0,0,7.0,5.0,4.0,2.27,7.0,0,8.0,5.0,20.45,20.45,0,1
3.0,135,7.0,1,6.0,0,-0.47,0,1,0,0,0,1,7.0,4.0,4.0,13.04,3.0,0,8.0,7.0,15.22,19.57,0,0
6.0,135,6.0,1,6.0,0,0.4,0,0,0,0,0,0,6.0,5.0,4.0,11.63,3.0,0,7.0,7.0,23.26,20.93,0,0
10.0,233,5.0,0,5.0,0,0.07,0,0,1,1,1,0,8.0,5.0,2.0,16.67,10.0,0,5.0,6.0,16.67,16.67,1,0
5.0,233,2.0,0,3.0,1,0.31,1,1,1,1,1,1,2.0,2.0,2.0,15.09,8.0,0,2.0,2.0,16.98,16.98,0,0
2.0,233,2.0,0,2.0,1,-0.06,1,1,1,1,1,0,5.0,5.0,2.0,11.11,8.0,0,2.0,3.0,22.22,19.44,0,0
6.0,233,4.0,1,5.0,1,0.14,1,1,1,1,1,0,4.0,5.0,2.0,16.98,6.400598653030681,0,4.0,4.0,18.87,16.98,0,0
5.0,233,2.0,1,3.0,1,-0.13,1,1,1,1,1,0,3.0,5.0,2.0,15.56,5.0,0,1.0,3.0,22.22,15.56,0,0
5.0,233,4.0,1,3.0,1,0.05,1,1,1,1,1,1,5.0,4.0,2.0,15.09,5.0,0,4.0,5.0,16.98,16.98,0,0
6.0,233,3.0,0,8.0,1,-0.03,0,1,1,0,0,0,5.0,5.0,2.0,11.11,8.0,0,6.0,7.0,20.0,15.56,0,0
6.0,233,7.0,0,6.0,1,0.14,0,0,0,0,0,0,5.0,6.0,2.0,2.27,6.0,0,7.0,7.0,20.45,20.45,0,0
4.0,233,7.0,0,8.0,0,0.07,0,1,0,0,0,0,6.0,6.0,2.0,13.04,7.0,0,7.0,7.0,15.22,19.57,0,0
7.0,233,5.0,0,6.0,0,0.58,0,0,1,1,0,0,6.0,5.0,2.0,11.63,6.0,0,5.0,6.0,23.26,20.93,0,0
7.0,95,4.0,0,5.0,0,0.64,0,0,1,1,1,1,8.0,2.0,4.0,16.67,8.0,0,5.0,7.0,16.67,16.67,0,0
9.0,95,6.0,0,6.0,1,0.4,1,0,1,0,0,0,3.0,6.0,4.0,15.09,6.0,0,7.0,5.0,16.98,16.98,0,0
5.0,95,6.0,1,5.0,1,0.51,0,1,1,1,1,0,5.0,7.0,4.0,11.11,2.0,1,5.0,6.0,22.22,19.44,0,1
6.0,95,6.0,1,5.0,1,0.41,1,1,1,1,1,0,6.190411462160177,5.0,4.0,16.98,6.400598653030681,0,4.0,4.0,18.87,16.98,0,0
5.0,95,6.0,1,5.0,1,0.41,1,1,1,1,1,0,5.0,6.0,4.0,15.56,5.0,0,5.0,5.0,22.22,15.56,0,0
6.0,95,6.0,1,5.0,1,-0.02,0,0,1,0,1,0,5.0,6.0,4.0,15.09,5.0,0,7.0,6.0,16.98,16.98,0,0
9.0,95,6.0,0,7.0,1,0.01,0,0,1,0,0,0,3.0,5.0,4.0,11.11,9.0,0,7.0,6.0,20.0,15.56,1,0
5.0,95,6.0,0,7.0,1,0.51,0,1,1,0,0,0,5.0,7.0,4.0,2.27,7.0,1,8.0,7.0,20.45,20.45,0,0
4.0,95,6.0,0,5.0,1,-0.11,1,1,1,0,1,1,4.0,4.0,4.0,13.04,6.0,0,6.0,5.0,15.22,19.57,0,0
9.0,95,6.0,0,6.400597907324364,1,0.27,0,0,1,0,1,0,3.0,8.0,4.0,11.63,6.0,1,7.0,8.0,23.26,20.93,0,0
5.0,78,7.0,0,4.0,0,0.38,1,1,0,1,1,0,10.0,5.0,1.0,16.67,10.0,0,3.0,2.0,16.67,16.67,1,0
10.0,78,6.0,0,5.0,0,0.41,1,0,0,1,1,0,8.0,5.0,1.0,15.09,9.0,0,4.0,2.0,16.98,16.98,1,0
6.0,78,7.0,0,6.0,0,0.36,1,0,0,1,0,0,7.0,5.0,1.0,11.11,8.0,0,4.0,3.0,22.22,19.44,0,0
6.0,78,7.0,0,6.0,0,0.41,1,1,0,1,0,0,7.0,5.0,1.0,16.98,8.0,0,4.0,3.0,18.87,16.98,0,0
6.0,78,6.0,0,6.0,0,0.46,1,0,0,1,0,0,7.0,5.0,1.0,15.56,6.0,0,4.0,3.0,22.22,15.56,0,0
7.0,78,7.0,0,5.0,0,0.13,1,0,0,1,1,0,7.0,5.0,1.0,15.09,8.0,0,4.0,5.0,16.98,16.98,0,0
5.0,78,7.0,0,7.0,0,0.22,0,1,0,0,0,0,10.0,7.0,1.0,11.11,9.0,1,7.0,7.0,20.0,15.56,1,1
6.0,78,5.0,0,4.0,0,0.45,1,0,1,1,1,0,8.0,5.0,1.0,2.27,8.0,0,4.0,4.0,20.45,20.45,0,0
4.0,78,4.0,0,6.0,0,-0.02,1,1,1,0,0,0,7.0,5.0,1.0,13.04,8.0,0,6.0,4.0,15.22,19.57,0,0
8.0,78,7.0,0,8.0,0,0.41,1,0,0,1,0,0,9.0,5.0,1.0,11.63,8.0,0,5.0,5.0,23.26,20.93,0,0
9.0,234,6.0,0,8.0,0,0.24,0,0,0,0,0,0,10.0,8.0,3.0,16.67,8.0,1,7.0,8.0,16.67,16.67,0,1
5.0,234,3.0,0,3.0,0,0.16,1,1,1,1,1,1,9.0,3.0,3.0,15.09,8.0,0,4.0,3.0,16.98,16.98,0,0
6.0,234,6.0,1,5.0,0,0.34,0,1,0,0,1,0,7.0,7.0,3.0,11.11,6.400598653030681,1,6.0,7.0,22.22,19.44,0,0
6.0,234,4.0,0,5.0,1,-0.4,1,1,1,1,1,0,6.190411462160177,5.0,3.0,16.98,7.0,0,5.0,5.0,18.87,16.98,0,0
8.0,234,5.0,0,7.0,0,-0.07,0,0,1,0,0,0,8.0,7.0,3.0,15.56,8.0,1,7.0,7.0,22.22,15.56,0,0
5.0,234,5.0,0,6.0,0,-0.27,0,1,1,0,0,0,6.0,6.0,3.0,15.09,6.0,0,7.0,6.0,16.98,16.98,0,0
6.0,234,6.0,0,8.0,0,0.13,0,1,0,0,0,0,7.0,7.0,3.0,11.11,7.0,1,8.0,7.0,20.0,15.56,0,0
7.0,234,7.0,0,8.0,0,0.13,0,0,0,0,0,0,7.0,7.0,3.0,2.27,7.0,1,8.0,7.0,20.45,20.45,0,0
4.0,234,9.0,0,9.0,0,0.02,0,1,0,0,0,0,7.0,7.0,3.0,13.04,8.0,1,9.0,8.0,15.22,19.57,0,1
8.0,234,5.0,0,8.0,0,0.15,0,0,1,0,0,0,7.0,6.0,3.0,11.63,6.0,0,7.0,6.0,23.26,20.93,0,0
9.0,196,7.0,0,9.0,0,0.43,0,0,0,0,0,0,10.0,7.0,2.0,16.67,8.0,1,8.0,7.0,16.67,16.67,0,0
5.0,196,6.0,0,6.0,0,0.62,0,1,0,0,0,0,9.0,6.0,2.0,15.09,8.0,0,6.0,6.0,16.98,16.98,0,1
6.0,196,7.0,1,7.0,0,0.44,0,1,0,0,0,0,6.0,7.0,2.0,11.11,6.400598653030681,1,8.0,7.0,22.22,19.44,0,1
6.0,196,4.0,1,4.0,1,0.38,1,1,1,1,1,1,6.190411462160177,3.0,2.0,16.98,6.400598653030681,0,4.0,4.0,18.87,16.98,0,0
5.0,196,4.0,0,4.0,0,0.4,1,1,1,1,1,1,6.0,4.0,2.0,15.56,6.0,0,4.0,4.0,22.22,15.56,0,0
6.0,196,4.0,0,8.0,0,-0.22,1,0,1,1,0,1,6.0,4.0,2.0,15.09,6.0,0,5.0,4.0,16.98,16.98,0,0
6.0,196,4.0,0,10.0,0,-0.18,1,1,1,1,0,1,6.0,4.0,2.0,11.11,9.0,0,5.0,4.0,20.0,15.56,1,1
5.0,196,4.0,0,8.0,0,0.16,0,1,1,0,0,0,8.0,5.0,2.0,2.27,8.0,0,8.0,6.0,20.45,20.45,0,1
3.0,196,9.0,1,9.0,0,-0.3,0,1,0,0,0,0,7.0,5.0,2.0,13.04,5.0,0,6.0,6.0,15.22,19.57,0,0
9.0,196,9.0,0,8.0,0,0.54,0,0,0,0,0,0,8.0,7.0,2.0,11.63,6.0,1,8.0,8.0,23.26,20.93,0,1
6.0,81,8.0,0,8.0,0,-0.34,0,0,0,0,0,0,8.0,6.0,2.0,16.67,8.0,0,7.0,8.0,16.67,16.67,0,0
5.0,81,8.0,0,9.0,0,0.42,0,1,0,0,0,0,6.0,6.0,2.0,15.09,9.0,0,7.0,6.0,16.98,16.98,1,0
6.0,81,8.0,1,9.0,1,0.56,0,1,0,0,0,0,5.0,6.0,2.0,11.11,5.0,0,6.0,8.0,22.22,19.44,0,0
6.0,81,9.0,1,8.0,1,0.07,0,1,0,0,0,0,6.190411462160177,8.0,2.0,16.98,6.400598653030681,1,6.0,9.0,18.87,16.98,0,0
