d_funny_partner_[0-5],funny_partner,expected_num_matches,d_attractive_o_[0-5],pref_o_attractive,attractive_o,d_guess_prob_liked_[0-4],shared_interests_partner,field,guess_prob_liked,d_guess_prob_liked_[7-10],pref_o_shared_interests,like,d_funny_o_[9-10],attractive_partner,funny_o,d_shared_interests_partner_[0-5],interests_correlate,d_attractive_partner_[0-5],pref_o_intelligence,shared_interests_o,d_like_[0-5],d_shared_interests_o_[0-5],d_funny_o_[0-5],match
0,7.0,5.0,1,20.0,4.0,0,6.0,242,7.0,1,15.0,7.0,0,6.0,6.0,0,-0.12,0,10.0,7.0,0,0,0,0
0,9.0,3.0,0,17.02,7.0,0,5.0,184,5.0,0,8.51,6.0,0,5.0,7.0,1,0.0,1,17.02,5.0,0,1,0,1
1,5.0,3.0,0,16.36,7.0,0,7.0,109,5.0,0,14.55,6.0,0,7.0,7.0,0,-0.2,0,18.18,8.0,0,0,0,0
0,6.0,0.0,1,25.64,3.0,1,6.0,119,4.0,0,10.26,6.0,0,8.0,3.0,0,-0.07,0,15.38,3.0,0,1,1,0
0,8.0,0.0,0,25.0,7.0,0,8.0,10,5.0,0,0.0,7.0,0,6.0,8.0,0,0.8,0,25.0,7.0,0,0,0,0
1,5.0,2.0,1,15.0,3.0,0,5.0,236,5.0,0,5.0,5.0,0,5.0,5.0,1,0.27,1,30.0,10.0,1,0,1,1
0,6.0,3.0,0,10.0,9.0,0,5.0,30,5.0,0,10.0,7.0,0,8.0,8.0,1,-0.02,0,20.0,7.0,0,0,0,1
0,8.0,5.0,0,27.0,8.0,0,8.0,89,7.0,1,10.0,9.0,0,9.5,8.0,0,0.63,0,28.0,6.0,0,0,0,1
1,5.0,2.0,0,25.0,7.0,0,5.0,41,5.0,0,10.0,5.0,0,7.0,8.0,1,0.52,0,20.0,5.0,1,1,0,0
1,5.0,3.0,1,25.0,4.0,0,3.0,28,5.0,0,10.0,5.0,0,6.0,5.0,1,0.29,0,20.0,0.0,1,1,1,0
1,6.400597907324364,2.0,1,31.58,6.190411462160177,1,6.0,43,5.0,0,10.53,6.0,0,6.189995107632094,6.400598653030681,1,0.31,1,15.79,6.0,1,1,1,0
0,6.0,6.0,0,20.0,6.0,0,3.0,135,5.0,0,15.0,7.0,0,7.0,6.0,1,0.63,0,20.0,6.0,0,0,0,0
0,6.0,2.0,1,5.0,3.5,1,6.0,27,3.0,0,30.0,5.0,0,7.0,2.0,0,0.29,0,20.0,5.0,1,1,1,0
1,6.400597907324364,3.0,1,22.495346845216552,6.190411462160177,1,6.0,126,5.0,0,11.845930415807977,6.0,0,6.189995107632094,6.400598653030681,1,0.21,1,20.27075883701291,6.0,1,1,1,0
1,6.400597907324364,4.0,0,15.0,6.0,1,6.0,191,5.0,0,20.0,6.0,0,6.189995107632094,7.0,1,-0.34,1,20.0,6.0,1,0,0,0
1,3.0,6.0,1,50.0,5.0,1,6.0,64,4.0,0,15.0,3.0,0,3.0,4.0,1,-0.07,1,10.0,5.0,1,1,1,0
0,8.0,2.0,0,27.0,7.0,0,5.0,79,6.0,0,10.0,7.0,0,7.0,7.0,1,0.73,0,28.0,6.0,0,0,0,1
1,2.0,4.0,0,24.0,8.0,1,2.0,212,2.0,0,13.0,2.0,0,3.0,6.0,1,0.31,1,20.0,4.0,1,1,0,0
1,5.0,1.0,0,20.0,10.0,1,9.0,190,2.0,0,16.0,6.0,0,4.0,7.0,0,0.25,1,16.0,6.0,0,1,0,0
0,8.0,3.4,1,20.0,5.0,0,7.0,224,7.0,1,15.0,8.0,0,8.0,7.0,0,0.28,0,10.0,6.0,0,0,0,1
0,8.0,3.0,0,22.495346845216552,6.0,0,9.0,72,6.0,0,11.845930415807977,7.0,0,8.0,4.0,0,0.21,0,20.27075883701291,5.0,0,1,1,1
0,6.0,3.0,0,13.21,6.0,0,6.0,175,5.0,0,15.09,6.0,0,7.0,5.0,0,0.69,0,18.87,6.0,0,1,1,0
1,5.0,3.0,1,10.0,2.0,0,6.0,76,5.0,0,20.0,5.0,0,6.0,2.0,0,0.37,0,30.0,2.0,1,1,1,0
0,8.0,4.0,0,30.0,8.0,0,9.0,195,8.0,1,5.0,9.0,0,8.0,8.0,0,-0.22,0,20.0,8.0,0,0,0,1
0,8.0,3.0,0,10.0,10.0,0,6.0,91,5.0,0,15.0,5.0,1,2.0,10.0,0,0.38,1,30.0,5.0,1,1,0,0
1,4.0,5.0,0,16.28,7.0,0,6.0,117,8.0,1,11.63,4.0,0,4.0,6.0,1,0.32,1,18.6,6.0,1,0,0,0
0,8.0,3.0,0,15.0,8.0,0,7.0,183,9.0,1,10.0,9.0,0,8.0,8.0,0,0.42,0,50.0,6.0,0,1,0,1
0,7.0,1.0,1,15.0,5.0,1,6.0,19,2.0,0,12.0,6.0,0,7.0,5.0,0,0.52,0,19.0,2.0,0,1,1,0
0,9.0,3.0,1,100.0,3.0,1,5.0,126,3.0,0,0.0,10.0,0,9.0,7.0,1,-0.06,0,0.0,5.0,0,1,0,0
0,6.0,2.5,1,35.0,2.0,1,5.0,52,3.0,0,20.0,6.0,0,6.0,4.0,1,0.55,0,25.0,6.0,0,1,1,0
1,2.0,3.0,1,35.0,3.0,1,1.0,140,2.0,0,5.0,1.0,0,1.0,5.0,1,0.19,1,25.0,4.0,1,1,1,0
0,7.0,4.0,0,15.0,6.0,0,7.0,257,5.0,0,15.0,7.0,0,8.0,4.0,0,0.23,0,20.0,3.0,0,1,1,0
0,6.0,1.0,1,25.0,5.0,1,3.0,150,4.0,0,5.0,3.0,1,6.0,9.0,1,0.34,0,20.0,5.0,1,1,0,0
1,4.0,6.0,1,25.0,4.0,1,3.0,152,3.0,0,0.0,4.0,0,5.0,5.0,1,0.32,1,25.0,2.0,1,1,1,0
1,1.0,2.0,0,40.0,7.0,0,0.0,79,8.0,1,20.0,1.0,0,2.0,6.0,1,0.64,1,10.0,7.0,1,0,0,0
0,6.0,1.0,0,27.0,8.0,0,5.0,11,7.0,1,10.0,8.0,0,8.0,8.0,1,0.22,0,28.0,4.0,0,1,0,1
0,6.0,2.0,1,19.0,4.0,0,6.0,203,6.0,0,22.0,7.0,0,7.0,6.0,0,-0.18,0,18.0,4.0,0,1,0,0
0,7.0,3.0,0,20.0,6.0,1,6.0,85,4.0,0,17.78,5.0,1,5.0,9.0,0,0.25,1,20.0,5.0,1,1,0,0
0,8.0,2.0,0,16.98,6.0,1,4.0,196,4.0,0,15.09,4.0,0,5.0,6.0,1,-0.22,1,16.98,6.0,1,0,0,0
1,4.0,6.0,0,15.0,7.0,1,4.0,109,4.0,0,12.0,5.0,0,7.0,6.0,1,0.32,0,19.0,4.0,1,1,0,0
0,9.0,3.0,0,10.0,9.0,0,5.0,191,6.0,0,15.0,8.0,0,9.0,6.0,1,0.41,0,35.0,3.0,0,1,0,0
0,6.0,1.0,0,15.22,6.0,1,5.0,98,4.0,0,19.57,7.0,0,6.0,5.0,1,0.46,0,19.57,3.0,0,1,1,0
1,5.0,4.0,0,16.0,6.0,1,3.0,257,1.0,0,17.0,5.0,0,6.0,5.0,1,0.35,0,16.0,7.0,1,0,1,0
1,4.0,3.0,0,10.0,8.0,0,6.0,44,5.0,0,22.0,5.0,0,6.0,8.0,1,0.11,0,20.0,8.0,1,0,0,0
1,2.0,0.0,0,15.0,6.0,0,4.0,18,7.0,1,20.0,6.0,0,4.0,6.0,1,0.14,1,20.0,4.0,0,1,0,0
0,8.0,1.0,1,24.0,5.0,0,6.0,178,5.0,0,10.0,7.0,0,7.0,3.0,0,0.39,0,28.0,6.0,0,0,1,0
0,6.0,3.4,0,40.0,6.0,0,6.0,224,7.0,1,5.0,7.0,0,7.0,6.0,0,0.13,0,30.0,2.0,0,1,0,0
0,6.0,3.0,1,20.0,5.0,0,7.0,235,7.0,1,20.0,7.0,0,7.0,8.0,0,0.3,0,10.0,8.0,0,0,0,0
1,4.0,3.0,0,8.0,7.0,0,6.0,87,5.0,0,10.0,6.0,0,5.0,7.0,1,-0.14,1,25.0,5.0,0,1,0,1
0,7.0,1.0,1,21.28,3.0,0,9.0,41,5.0,0,21.28,6.0,0,8.0,4.0,0,-0.43,0,21.28,6.0,0,0,1,0
1,2.0,0.5,0,25.0,8.0,0,4.0,67,8.0,1,0.0,6.0,0,4.0,8.0,1,0.59,1,25.0,6.0,0,1,0,0
0,8.0,4.0,0,10.0,9.0,0,9.0,83,5.0,0,15.0,8.0,0,7.0,8.0,0,0.24,0,20.0,8.0,0,0,0,0
0,6.0,0.0,0,10.0,10.0,0,5.0,135,6.0,0,15.0,5.0,1,6.0,10.0,1,-0.58,0,20.0,9.0,1,0,0,0
0,8.0,3.0,1,20.0,5.0,0,6.0,76,8.0,1,0.0,7.0,0,6.0,6.400598653030681,0,0.58,0,20.0,6.0,0,0,1,0
1,5.0,3.0,0,16.0,7.0,0,4.0,135,6.0,0,14.0,4.0,0,6.0,8.0,1,-0.18,0,20.0,6.0,1,0,0,0
0,8.0,4.0,1,25.0,4.0,0,9.0,195,8.0,1,10.0,8.0,0,8.0,4.0,0,0.03,0,20.0,1.0,0,1,1,0
0,7.0,2.0,0,16.0,7.0,0,5.0,17,10.0,1,16.0,8.0,0,8.0,8.0,1,0.28,0,16.0,7.0,0,0,0,1
1,2.0,1.0,0,20.0,8.0,1,1.0,197,2.0,0,10.0,2.0,1,1.0,9.0,1,-0.07,1,20.0,6.0,1,1,0,0
0,8.0,2.0,0,14.0,9.0,0,9.0,41,7.0,1,20.0,9.0,1,9.0,9.0,0,0.53,0,17.0,8.0,0,0,0,1
0,9.0,3.0,0,7.5,10.0,0,5.0,128,9.0,1,20.0,6.0,1,3.0,10.0,1,-0.4,1,20.0,8.0,0,0,0,0
0,7.0,2.0,0,25.0,8.0,0,6.0,96,9.0,1,8.0,10.0,0,10.0,5.0,1,0.16,0,25.0,6.0,0,1,1,1
0,10.0,2.0,0,50.0,6.0,0,6.0,99,5.0,0,10.0,9.0,0,5.0,6.0,1,-0.35,1,20.0,6.0,0,1,0,0
0,7.0,3.0,1,10.0,6.190411462160177,0,4.0,221,6.0,0,15.0,8.0,0,6.0,8.0,1,0.42,0,15.0,7.0,0,0,0,1
0,7.0,2.0,1,50.0,3.0,1,6.0,135,3.0,0,0.0,6.0,0,6.0,5.0,0,0.11,0,20.0,5.0,0,1,1,0
0,6.0,4.0,0,60.0,6.0,0,2.0,236,6.0,0,0.0,7.0,0,6.0,6.0,1,0.37,0,0.0,6.0,0,0,0,0
0,7.0,1.0,0,40.0,9.0,0,5.0,227,6.0,0,0.0,6.0,0,6.0,8.0,1,-0.4,0,20.0,7.0,0,0,0,0
0,8.0,6.0,0,16.67,8.0,0,6.0,244,8.0,1,18.52,9.0,1,5.0,10.0,0,0.6,1,16.67,9.0,0,0,0,0
0,8.0,0.0,0,20.0,9.0,0,8.0,191,8.0,1,15.0,9.0,0,8.0,8.0,0,0.06,0,20.0,5.0,0,1,0,0
0,8.0,3.0,0,15.0,9.0,0,7.0,183,7.0,1,10.0,6.5,1,6.0,10.0,0,0.63,0,20.0,10.0,0,0,0,1
1,5.0,3.0,1,15.0,4.0,0,5.0,30,5.0,0,10.0,5.0,0,6.0,4.0,1,0.29,0,20.0,2.0,1,1,1,0
0,7.0,7.0,1,13.51,5.0,0,4.0,108,5.0,0,18.92,5.0,0,7.0,6.0,1,0.63,0,21.62,5.0,1,1,0,0
0,8.0,1.0,1,15.0,5.0,0,6.0,90,5.0,0,15.0,7.0,0,9.0,5.0,1,0.55,0,15.0,3.0,0,1,1,0
1,5.0,5.0,0,15.0,6.0,1,4.0,135,4.0,0,15.0,4.0,0,4.0,6.0,1,0.53,1,25.0,6.0,1,1,0,0
0,9.0,1.0,1,25.0,2.0,0,2.0,109,5.0,0,10.0,5.0,0,7.0,7.0,1,0.1,0,10.0,6.0,1,1,0,0
0,8.0,0.0,0,20.0,8.0,0,8.0,85,5.0,0,13.33,8.0,0,8.0,6.0,0,0.34,0,20.0,4.0,0,1,0,0
0,8.0,3.0,0,15.38,6.0,0,7.0,97,6.0,0,15.38,6.0,0,8.0,6.400598653030681,0,-0.07,0,17.31,6.0,0,1,1,0
1,2.0,5.0,0,30.0,10.0,0,6.0,171,10.0,1,10.0,3.0,1,2.0,10.0,1,0.5,1,30.0,9.0,1,0,0,0
0,7.0,2.0,1,20.0,5.0,1,6.0,126,3.0,0,15.0,7.0,0,8.0,5.0,0,0.28,0,15.0,7.0,0,0,1,0
0,8.0,5.0,0,11.54,6.0,0,6.0,143,5.0,0,17.31,6.0,0,7.0,8.0,1,-0.03,0,19.23,7.0,0,0,0,1
1,4.0,5.0,1,30.0,4.0,1,6.0,246,4.0,0,10.0,4.0,0,4.0,3.0,1,0.53,1,30.0,3.0,1,1,1,0
0,8.0,4.0,0,20.0,9.0,0,7.0,127,7.0,1,5.0,8.0,1,8.0,9.0,0,0.5,0,50.0,6.0,0,1,0,1
0,7.0,12.0,0,40.0,8.0,0,5.0,207,9.0,1,0.0,5.0,1,3.0,10.0,1,0.61,1,20.0,8.0,1,0,0,0
0,6.0,2.0,0,40.0,7.0,0,5.0,191,6.0,0,0.0,6.0,0,6.0,7.0,1,-0.55,0,20.0,7.0,0,0,0,0
0,6.0,6.0,1,20.0,5.0,0,4.0,135,5.0,0,5.0,6.0,1,7.0,9.0,1,0.65,0,25.0,2.0,0,1,0,1
0,8.0,5.0,0,9.0,8.0,0,7.0,30,7.0,1,22.0,7.0,1,7.0,9.0,0,0.34,0,23.0,8.0,0,0,0,1
0,8.0,1.0,0,30.0,7.0,0,7.0,144,5.0,0,5.0,7.0,0,10.0,8.0,0,-0.26,0,15.0,7.0,0,0,0,1
1,4.0,3.0,0,50.0,6.0,1,6.0,39,4.0,0,5.0,4.0,0,4.0,3.0,1,0.71,1,10.0,2.0,1,1,1,0
0,7.0,5.0,0,15.38,9.0,1,6.0,240,4.0,0,15.38,7.0,1,6.0,9.0,0,0.54,0,17.31,7.0,0,0,0,1
0,10.0,8.0,0,20.0,7.0,0,9.0,2,6.0,0,0.0,9.0,0,9.0,6.0,0,-0.09,0,20.0,6.0,0,0,0,0
0,10.0,2.0,0,20.0,8.0,0,10.0,112,7.0,1,7.5,10.0,0,10.0,7.0,0,0.28,0,17.5,9.0,0,0,0,1
1,5.0,2.0,1,20.0,4.0,1,4.0,56,1.0,0,15.0,5.0,0,7.0,7.0,1,0.65,0,20.0,10.0,1,0,0,0
0,7.0,2.0,0,19.0,7.0,1,6.0,37,0.0,0,8.0,6.0,0,6.0,6.0,0,0.23,0,21.0,2.0,0,1,0,0
0,7.0,3.0,0,14.0,7.0,1,5.0,236,4.0,0,6.0,7.0,0,8.0,7.0,1,-0.36,0,18.0,6.0,0,0,0,0
0,8.0,10.0,0,10.0,8.0,0,9.0,126,9.0,1,15.0,9.0,0,6.0,8.0,0,0.79,0,20.0,7.0,0,0,0,1
1,5.0,3.0,0,8.33,8.0,1,6.0,174,2.0,0,18.75,6.0,0,4.0,8.0,1,0.47,1,20.83,6.0,0,1,0,0
0,6.0,6.0,1,25.0,5.0,0,7.0,109,6.0,0,20.0,8.0,0,4.0,6.0,0,-0.04,1,10.0,7.0,0,0,0,0
1,5.0,0.0,0,15.0,6.0,1,2.0,170,1.0,0,15.0,6.0,0,5.0,6.0,1,0.62,1,15.0,6.0,0,0,0,0
0,7.0,6.0,0,40.0,6.0,1,6.0,135,3.0,0,5.0,6.0,0,6.0,6.0,0,0.2,0,30.0,5.0,0,1,0,0
0,8.0,1.0,0,20.0,7.0,0,6.0,81,7.0,1,0.0,6.0,0,8.0,7.0,0,0.05,0,20.0,7.0,0,0,0,1
1,4.0,3.0,1,20.0,5.0,1,3.0,148,2.0,0,15.0,6.0,0,9.0,4.0,1,0.54,0,20.0,4.0,0,1,1,0
1,4.0,0.0,1,16.0,5.0,1,4.0,25,3.0,0,11.0,6.0,0,4.0,5.0,1,0.33,1,19.0,6.0,1,0,1,0
1,5.0,2.0,0,30.0,7.0,1,4.0,166,3.0,0,5.0,4.0,0,7.0,8.0,1,0.32,0,20.0,5.0,1,1,0,0
1,2.0,4.0,1,30.0,4.0,1,0.0,230,0.0,0,15.0,2.0,0,8.0,7.0,1,0.37,0,30.0,8.0,1,0,0,0
0,7.0,4.0,0,15.38,9.0,0,6.0,112,8.0,1,15.38,6.0,0,6.0,6.400598653030681,0,0.19,0,17.31,9.0,0,0,1,0
0,9.0,1.0,0,15.0,6.0,1,7.0,248,3.0,0,0.0,7.0,0,7.0,7.0,0,0.33,0,25.0,4.0,0,1,0,0
0,6.0,3.0,0,10.0,7.0,1,3.0,148,4.0,0,10.0,3.0,0,5.0,6.0,1,0.52,1,30.0,6.0,1,0,0,0
1,4.0,0.0,1,17.24,5.0,1,3.0,119,4.0,0,17.24,4.0,0,4.0,5.0,1,-0.46,1,17.24,5.0,1,1,1,0
1,3.0,2.0,1,58.0,3.0,1,3.0,72,1.0,0,12.0,4.0,0,7.0,3.0,1,-0.22,0,8.0,6.0,1,0,1,0
0,6.0,3.0,1,19.61,4.0,0,3.0,28,7.0,1,13.73,4.0,0,4.0,5.0,1,0.02,1,17.65,6.0,1,0,1,0
1,2.0,0.0,1,25.0,1.0,1,2.0,191,2.0,0,10.0,1.0,0,4.0,5.0,1,0.36,1,20.0,2.0,1,1,1,0
1,4.0,4.0,0,20.0,6.0,1,3.0,30,2.0,0,10.0,3.0,0,5.0,7.0,1,0.36,1,20.0,4.0,1,1,0,0
0,6.0,4.0,1,10.0,5.0,1,7.0,195,4.0,0,10.0,6.0,0,6.0,5.0,0,0.29,0,40.0,6.0,0,0,1,0
0,6.0,5.0,0,15.0,7.0,0,8.0,82,5.0,0,20.0,7.0,0,7.0,7.0,0,0.72,0,20.0,9.0,0,0,0,0
0,8.0,3.0,0,17.39,6.0,0,8.0,224,7.0,1,19.57,7.0,0,7.0,6.0,0,-0.15,0,15.22,5.0,0,1,0,0
0,8.0,4.0,1,15.0,2.0,1,6.0,126,2.0,0,20.0,5.0,0,7.0,4.0,1,-0.26,0,20.0,3.0,1,1,1,0
0,6.0,2.0,0,6.67,7.0,0,6.0,130,7.0,1,7.62,7.0,0,7.0,7.0,1,0.14,0,42.86,3.0,0,1,0,0
0,6.0,3.0,0,95.0,8.0,1,5.0,205,4.0,0,1.0,7.0,0,5.0,6.0,1,-0.56,1,1.0,4.0,0,1,0,1
1,5.0,5.0,1,25.0,5.0,0,6.0,129,5.0,0,5.0,4.0,0,4.0,7.0,1,0.12,1,20.0,6.0,1,1,0,0
1,5.0,3.0,0,25.0,7.0,0,4.0,138,5.0,0,10.0,5.0,0,5.0,6.0,1,-0.24,1,20.0,4.0,1,1,0,0
1,6.400597907324364,1.0,0,25.0,7.0,0,6.0,211,6.0,0,25.0,8.0,1,5.0,10.0,1,0.61,1,25.0,7.0,0,0,0,0
0,6.0,3.0,1,60.0,4.0,0,7.0,191,8.0,1,0.0,8.0,0,5.0,5.0,0,0.42,1,10.0,6.0,0,0,1,0
0,7.0,3.0,0,10.0,7.0,0,6.0,72,5.0,0,20.0,7.0,0,8.0,8.0,0,0.55,0,20.0,7.0,0,0,0,1
0,7.0,5.0,0,14.29,6.0,0,8.0,36,9.0,1,9.52,8.0,1,8.0,10.0,0,-0.5,0,21.43,10.0,0,0,0,1
0,6.0,3.0,0,20.51,6.0,0,5.0,109,5.0,0,20.51,5.0,0,7.0,5.0,1,0.13,0,23.08,5.0,1,1,1,0
0,8.0,3.0,1,10.0,2.0,0,4.0,30,5.0,0,20.0,5.0,0,3.0,6.400598653030681,1,0.43,1,30.0,6.0,1,1,1,0
0,7.0,4.0,1,50.0,5.0,0,7.0,226,6.0,0,5.0,7.0,0,6.0,7.0,0,0.36,0,10.0,7.0,0,0,0,0
1,2.0,3.0,0,18.0,6.0,0,1.0,191,5.0,0,14.0,1.0,0,2.0,6.0,1,0.21,1,18.0,6.0,1,0,0,0
0,8.0,0.0,0,5.0,8.0,0,9.0,109,8.0,1,30.0,8.0,0,6.0,5.0,0,0.2,0,20.0,5.0,0,1,1,0
1,3.0,0.0,0,15.0,6.0,1,5.0,135,3.0,0,20.0,3.0,0,3.0,8.0,1,-0.56,1,20.0,4.0,1,1,0,0
0,8.0,2.0,0,17.02,9.0,0,6.0,220,6.0,0,8.51,7.0,0,5.0,8.0,0,0.5,1,17.02,6.0,0,0,0,0
1,5.0,3.0,1,12.24,4.0,1,6.0,115,2.0,0,16.33,3.0,0,6.0,7.0,1,0.45,0,16.33,7.0,1,0,0,0
0,7.0,2.0,0,16.67,8.0,0,7.0,35,6.0,0,8.33,6.0,1,7.0,9.0,0,0.42,0,18.75,6.0,0,0,0,0
1,4.0,3.0,1,16.36,4.0,1,6.0,135,3.0,0,14.55,5.0,0,7.0,5.0,0,0.23,0,18.18,7.0,1,0,1,0
0,8.0,4.0,0,20.0,8.0,0,8.0,86,7.0,1,5.0,8.0,0,8.0,8.0,0,0.43,0,25.0,6.0,0,0,0,0
0,8.0,10.0,0,50.0,6.0,1,5.0,177,2.0,0,10.0,8.0,0,8.0,7.0,1,-0.14,0,10.0,3.0,0,1,0,0
0,7.0,1.0,0,30.0,6.0,0,2.0,136,5.0,0,20.0,5.0,0,7.0,6.0,1,0.13,0,10.0,4.0,1,1,0,0
0,10.0,1.0,0,40.0,8.0,0,9.0,0,7.0,1,5.0,8.0,1,9.0,9.0,0,0.21,0,15.0,9.0,0,0,0,1
1,4.0,3.0,0,25.0,8.0,1,1.0,126,1.0,0,15.0,2.0,0,4.0,5.0,1,-0.01,1,25.0,4.0,1,1,1,0
0,8.0,6.0,0,20.0,6.0,0,8.0,207,7.0,1,15.0,6.0,0,4.0,6.0,0,0.55,1,20.0,7.0,0,0,0,0
0,6.0,3.0,0,20.0,7.0,1,6.0,236,4.0,0,10.0,7.0,1,8.0,10.0,0,-0.08,0,20.0,8.0,0,0,0,1
0,8.0,3.0,0,15.38,7.0,1,5.0,28,3.0,0,15.38,7.0,0,7.0,6.400598653030681,1,-0.23,0,17.31,6.0,0,1,1,0
1,4.0,3.0,1,20.0,4.0,1,8.0,68,2.0,0,20.0,4.0,0,4.0,4.0,0,0.14,1,25.0,7.0,1,0,1,0
1,6.400597907324364,3.0,0,14.0,8.0,1,6.0,29,5.0,0,18.0,6.0,0,6.189995107632094,7.0,1,-0.08,1,18.0,6.0,1,1,0,0
0,10.0,7.0,0,17.78,8.0,0,8.0,30,10.0,1,6.67,10.0,0,8.0,7.0,0,0.01,0,22.22,6.0,0,0,0,1
0,9.0,3.0,1,25.0,5.0,0,9.0,79,7.0,1,5.0,9.0,0,9.0,4.0,0,0.25,0,15.0,3.0,0,1,1,0
1,5.0,3.0,1,15.0,5.0,0,5.0,191,7.0,1,15.0,8.0,0,6.0,7.0,1,0.42,0,15.0,5.0,0,1,0,0
0,8.0,9.0,0,20.0,6.0,0,7.0,116,7.0,1,10.0,8.0,0,8.0,8.0,0,0.25,0,30.0,2.0,0,1,0,0
1,2.0,4.0,1,15.0,5.0,1,2.0,30,1.0,0,18.0,4.0,0,8.0,6.0,1,0.31,0,18.0,4.0,1,1,0,0
0,8.0,3.0,1,15.0,4.0,0,5.0,135,6.0,0,15.0,8.0,0,7.0,4.0,1,-0.37,0,25.0,6.0,0,1,1,0
0,10.0,1.0,1,23.81,5.0,1,6.0,59,5.0,0,2.38,6.5,0,8.0,7.0,1,0.4,0,23.81,7.0,0,0,0,0
1,3.0,4.0,0,15.0,6.0,0,4.0,126,7.0,1,18.0,7.0,0,6.0,8.0,1,0.1,0,18.0,5.0,0,1,0,0
1,4.0,1.0,0,14.29,8.0,1,6.0,30,2.0,0,9.52,5.0,0,4.0,8.0,1,-0.21,1,21.43,5.0,1,1,0,0
0,7.0,3.0,0,20.0,9.0,1,3.0,135,3.0,0,10.0,6.0,0,5.0,5.0,1,0.53,1,20.0,5.0,0,1,1,1
0,8.0,3.0,0,16.0,6.0,0,6.0,251,7.0,1,16.0,8.0,0,8.0,7.0,0,-0.15,0,18.0,6.0,0,1,0,0
1,5.0,2.0,1,20.0,4.0,0,6.0,130,6.0,0,10.0,6.0,0,6.0,5.0,1,0.42,0,30.0,4.0,0,1,1,0
1,4.0,4.0,0,20.0,8.0,0,7.0,145,7.0,1,20.0,8.0,0,4.0,8.0,0,0.46,1,20.0,4.0,0,1,0,0
0,8.0,1.0,1,50.0,5.0,0,6.0,165,5.0,0,10.0,7.0,0,4.0,4.0,0,-0.08,1,10.0,4.0,0,1,1,0
0,7.0,1.0,0,20.0,6.0,1,7.0,48,2.0,0,20.0,6.0,0,7.0,3.0,0,0.66,0,20.0,3.0,0,1,1,0
0,10.0,1.0,0,25.0,6.0,0,4.0,70,5.0,0,0.0,8.0,0,6.0,8.0,1,-0.29,0,25.0,3.0,0,1,0,0
1,5.0,3.0,0,17.39,7.0,1,6.0,184,1.0,0,15.22,3.0,0,2.0,2.0,1,-0.15,1,19.57,2.0,1,1,1,0
1,5.0,1.0,1,35.0,3.0,1,5.0,34,2.0,0,20.0,7.0,0,7.0,6.0,1,0.36,0,25.0,6.0,0,1,0,0
1,5.0,5.0,0,25.0,6.0,0,5.0,159,5.0,0,10.0,5.0,0,6.0,5.0,1,-0.34,0,10.0,2.0,1,1,1,0
1,1.0,0.0,0,30.0,8.0,1,2.0,85,1.0,0,20.0,1.0,0,2.0,6.0,1,0.2,1,10.0,4.0,1,1,0,0
0,7.0,1.0,0,20.0,6.0,0,6.0,152,6.0,0,15.0,8.0,0,8.0,7.0,1,0.58,0,15.0,7.0,0,0,0,0
0,10.0,0.0,0,40.0,10.0,1,5.0,61,1.0,0,10.0,8.0,1,8.0,10.0,1,0.08,0,10.0,10.0,0,0,0,0
0,8.0,2.0,1,16.67,5.0,0,6.0,226,6.0,0,16.67,8.0,0,8.0,5.0,1,0.52,0,16.67,5.0,0,1,1,0
0,6.0,4.0,0,10.0,8.0,1,3.0,257,4.0,0,10.0,7.0,0,5.0,7.0,1,0.6,1,25.0,6.0,0,0,0,0
0,6.0,0.0,0,40.0,6.0,1,2.0,73,1.0,0,12.0,5.0,0,5.0,3.0,1,0.27,1,18.0,2.0,1,1,1,0
0,7.0,3.0,0,15.0,10.0,0,8.0,183,8.0,1,20.0,8.0,0,8.0,6.0,0,0.52,0,20.0,8.0,0,0,0,1
0,6.0,3.0,1,25.0,4.0,1,3.0,135,4.0,0,10.0,4.0,0,5.0,4.0,1,0.23,1,20.0,4.0,1,1,1,0
0,6.0,1.0,0,20.0,8.0,1,5.0,163,3.0,0,10.0,7.0,0,8.0,7.0,1,0.47,0,20.0,5.0,0,1,0,0
1,2.0,3.0,0,40.0,6.0,1,1.0,1,4.0,0,0.0,2.0,0,3.0,6.0,1,0.43,1,20.0,5.0,1,1,0,0
0,8.0,3.0,0,30.0,6.0,0,6.0,191,5.0,0,0.0,8.0,0,8.0,5.0,0,0.11,0,25.0,3.0,0,1,1,0
0,10.0,4.0,0,35.0,7.0,0,7.0,126,10.0,1,5.0,7.0,0,7.0,8.0,0,-0.04,0,25.0,6.0,0,0,0,0
0,8.0,3.0,1,30.0,5.0,1,9.0,236,4.0,0,5.0,6.0,0,7.0,8.0,0,0.17,0,30.0,5.0,0,1,0,1
0,7.0,3.0,0,15.38,7.0,1,6.0,109,4.0,0,11.54,5.0,0,6.0,7.0,0,0.2,0,19.23,6.0,1,0,0,0
0,6.0,2.0,0,30.0,8.0,1,2.0,135,1.0,0,5.0,4.0,0,2.0,7.0,1,0.02,1,10.0,8.0,1,0,0,0
0,8.0,1.0,0,16.0,6.0,1,7.0,19,4.0,0,18.0,8.0,0,8.0,7.0,0,0.52,0,19.0,6.0,0,0,0,1
0,6.0,1.0,0,15.0,8.0,0,7.0,85,7.0,1,10.0,7.0,0,7.0,7.0,0,-0.16,0,25.0,6.0,0,0,0,0
